en	de	fr	ja	cn	ko	lineno
﻿'Move to South Edge'	'zur südlichen Kante'	'Allez au Sud'		'前往南侧边缘'	'남쪽으로'	the_copied_factory.js line#40
'Look for Lasers'	'Pass auf die Laser auf'	'Attention aux lasers'		'小心激光'	'레이저 확인'	the_copied_factory.js line#79
'Dodge Moving Circle'	'Bewegenden Kreisen ausweichen'	'Evitez les cercles mouvants'		'躲避移动圆圈'	'시계방향 회전하면서 나오는 장판 피하기'	the_copied_factory.js line#142
'Look Behind For Flamethrowers'	'Flammenwerfer hinter dir'	'Regardez derrière (lance-flammes)'		'观察后方放火'	'뒤에서 불 나오는 곳 확인'	the_copied_factory.js line#160
'Dodge Falling Walls'	'Den fallenden Wände asuweichen'	'Eviter les murs tombants'		'躲避倒塌墙壁'	'넘어지는 벽 피하기'	the_copied_factory.js line#192
'Spread Tethers'	'Verbindungen Verteilen'	'Ecartez les liens'		'散开扯断连线'	'산개 선 (탱 혼자도 가능)'	the_copied_factory.js line#208
'Dodge Electric Floor'	'Elektrischem Boden ausweichen'	'Evitez le sol électrifié'		'躲避带电地板'	'바닥 장판 피하기'	the_copied_factory.js line#242
'Conveyor Belts'	'Förderbänder'	'Tapis roulant'		'输送带'	'컨베이어 벨트'	the_copied_factory.js line#257
'Oil Vats'	'Ölbehälter'	'Cuves à huile'		'油桶'	'뚫린 바닥 피하기'	the_copied_factory.js line#274
'Oil Vats'	'Ölbehälter'	'Cuves à huile'		'油桶'	'뚫린 바닥 피하기'	the_copied_factory.js line#292
'Exploder on YOU'	'Explosion auf DIR'	'Explosion sur VOUS'		'自爆点名'	'폭발 징'	the_copied_factory.js line#310
'Front and Center'	'Vorne und Mitte'	'Devant et au centre'		'前方中间'	'앞으로 => 중앙으로'	the_copied_factory.js line#363
'Back and Sides'	'Hinten und Seiten'	'Arrière et côtés'		'后方两侧'	'뒤로 => 양옆으로'	the_copied_factory.js line#378
'Kill Claws'	'Klauen töten'	'Tuez les pinces'		'杀掉爪子'	'양옆 톱 처리'	the_copied_factory.js line#393
'Go Sides (Near Front)'	'Zu den Seiten (Nahe der Front)'	'Allez sur les côtés (vers l\'avant)'		'两侧（靠近前方）'	'양옆으로 (앞 근처)'	the_copied_factory.js line#431
'Get Towers'	'Türme nehmen'	'Prenez les tours'		'踩塔'	'장판 하나씩 들어가기'	the_copied_factory.js line#447
'Adds (Ignore Small)'	'Adds (kleine ignorieren)'	'Adds (ignorez les petits)'		'小怪（忽略小的）'	'쫄 나옴 (작은건 무시)'	the_copied_factory.js line#493
'Front and Center'	'Vorne und Mitte'	'Devant et au centre'		'前方中间'	'앞 중앙'	the_copied_factory.js line#508
'Look For Wall Saws'	'Halt nach den kleinen Sägen ausschau'	'Repérez les scies'		'观察墙壁'	'양옆 톱 확인'	the_copied_factory.js line#524
'Laser Buster on YOU'	'Laser Tankbuster auf DIR'	'Laser Tankbuster sur VOUS'		'激光点名'	'레이저 대상자'	the_copied_factory.js line#579
'Dodge Overhead Saws'	'Sägen über dem Kopf ausweichen'	'Evitez la scie au-dessus de vous'		'躲避头顶锯'	'톱 없는 쪽으로 피하기'	the_copied_factory.js line#613
'Go Behind Untethered Tank'	'Hinter den nicht verbundenen Panzer gehen'	'Derrière le tank non-lié'		'没连线的坦克后躲避'	'연결되지 않은 탱크 뒤로 숨기'	the_copied_factory.js line#648
'Get in the bubble'	'Geh in die Kuppel'	'Allez dans les bulles'		'进入圈圈'	'안전지대 안으로 들어가기'	the_copied_factory.js line#674
﻿'puddle on you'	'Fläche auf DIR'	'Flaque sur VOUS'		'水球点名'	'징 대상자'	akadaemia_anyder.js line#35
'Away From Swimming Shark'	'Weg vom schwimmenden Hai'	'Ecartez-vous requin dans l\'eau'		'远离水中BOSS'	'물 속 상어 멀리 떨어지기'	akadaemia_anyder.js line#64
'Sides of Swimming Shark'	'Zu den Seiten vom schwimmenden Hai'	'Allez sur les côtés'		'去水中BOSS的两侧'	'물 속 상어 측면으로 피하기'	akadaemia_anyder.js line#80
'grab orbs'	'Orbs nehmen'	'Prenez les orbes'		'吃球'	'구슬 줍기'	akadaemia_anyder.js line#170
﻿'Hide Behind Boulder'	'Hinter einem Felsen verstecken'			'躲在岩石后'	'바위 뒤에 숨기'	amaurot.js line#60
﻿'Drop Meteor West'	'Hinter einem Felsen verstecken'			'西侧放陨石'	'바위 뒤에 숨기'	amaurot.js line#60
'Get Off'	'Runter gehen'	'Sur les plateformes extérieures'		'站左右小平台'	'바깥으로 피하기'	amaurot.js line#87
﻿'Avoid Arrow'	'Pfeil ausweichen'	'Evitez la flèche'		'躲箭头'	'화살표 피하기'	anamnesis_anyder.js line#32
'Avoid Hands'	'Händen ausweichen'	'Evitez les mains'		'躲手'	'손 피하기'	anamnesis_anyder.js line#130
﻿'Line Stack'	'Sammeln in einer Linie'	'Packez-vous en ligne'		'直线分摊'	'직선 쉐어'	holminster_switch.js line#135
﻿'Melee Knockback'	'Nahkämpfer Rückstoß'			'近战击退'	'근거리 넉백'	malikahs_well.js line#37
﻿'Ambition Tail Smash'	'Begierde Schweifschlag'	'Evitez la queue'		'尾巴横扫'	'꼬리 휘두르기 주의'	mt_gulg.js line#32
'Frontal Laser'	'Frontaler Laser'	'Laser frontal'		'面前激光'	'정면 레이저 공격'	mt_gulg.js line#60
'dodge wind cones'	'Wind-Fächerflächen ausweichen'	'Evitez les cônes de vent'		'躲风锥'	'부채꼴 공격 피하기'	mt_gulg.js line#89
'max melee range'	'Maximale Nahkämpfer Entfernung'	'Limite de zone CaC'		'最远近战距离'	'칼끝딜'	mt_gulg.js line#204
﻿'Look for pillar'	'Auf die Pfeiler schauen'	'Cherchez les piliers'		'找柱子躲'	'빛나는 기둥 위치확인'	qitana_ravel.js line#46
'Stay on left flank'	'Auf seiner linken Seite stehen'	'Restez sur le flanc gauche'		'左侧翼躲避'	'보스 왼쪽 측면으로'	qitana_ravel.js line#63
'Stay on right flank'	'Auf seiner rechten Seite stehen'	'Restez sur le flanc droit'		'右侧翼躲避'	'보스 오른쪽 측면으로'	qitana_ravel.js line#80
'Run Away From Boss'	'Renn weg vom Boss'	'Courez loin du boss'		'远离Boss'	'보스와 거리 벌리기'	qitana_ravel.js line#163
'Drop Poison Outside'	'Gift am Rand ablegen'	'Posez le poison à l\'extérieur'		'远处放毒'	'독 장판을 바깥 쪽에 버리기'	qitana_ravel.js line#176
'Spread to Sides'	'Auf die Seiten verteilen'	'Dispersez-vous sur les bords'		'两侧分散'	'좌우 측면으로 산개'	qitana_ravel.js line#196
﻿'Avoid Brooms'	'Besen ausweichen'	'Evitez les balais'		'躲扫把'	'빗자루 피하기'	the_grand_cosmos.js line#58
'put seeds on dirt'	'Samen auf den nicht bewachsenen Boden legen'	'Placez les graines sur la terre'		'种子搬离AOE'	'씨앗 자라지 못하게 하기'	the_grand_cosmos.js line#105
'Dodge Crosses'	'Den Kreuzen ausweichen'	'Evitez les croix'		'躲避交叉'	'십자 장판 피하기'	the_grand_cosmos.js line#159
'Touch Furniture'	'Einrichtung berühren'	'Touchez un élément de décor'		'传火家具'	'가구에 불 옮기기'	the_grand_cosmos.js line#181
﻿'Spread (avoid cages)'	'Verteilen (Vermeide "Käfige")'	'Dispersez vous (évitez les cages)'		'分散（躲避笼子）'	'산개 (몬스터 우리 피하기)'	twinning.js line#57
'cardinal lasers'	'Himmelrichtungs-Lasers'	'Lasers cardinaux'		'正点激光'	'십자 레이저'	twinning.js line#128
'outer lasers'	'Lasers am Rand'	'Lasers extérieurs'		'外侧激光'	'외곽 레이저'	twinning.js line#144
﻿'Tank Laser on YOU'	'Tank Laser auf DIR'	'Tank laser sur VOUS'		'坦克射线点名'	'나에게 탱커 빔'	e1n.js line#71
'Drop Puddle, Run Middle'	'Flächen ablegen, danach in die Mitte'	'Placez les flaques, courez au centre'		'放圈，回中央'	'장판 깔고 중앙으로'	e1n.js line#98
﻿'Cross Spread'	'Verteilen'	'Ecartez-vous en croix'	'散開'	'四角躲避'	'산개'	e1s.js line#164
'Puddle Spread'	'Flächen verteilen'	'Ecartez-vous'	'離れて散開'	'分散放圈'	'장판 유도 산개'	e1s.js line#306
'Stack With Partner'	'Mit Partner stacken'	'Packez-vous avec votre partenaire'	'相方とスタック'	'与搭档集合'	'쉐어뎀 파트너랑 모이기'	e1s.js line#323
'Stack in front of tank'	'Vorne mit dem Tank stacken'	'Packez-vous devant le tank'	'左右に分かれて内側へ'	'T前集合'	'좌우 탱커 앞 산개'	e1s.js line#358
'Take prey from healer'	'Marker vom Heiler nehmen'	'Prenez la marque du healer'	'ヒーラーからマーカー取って'	'从奶妈拿毒'	'힐러한테서 표식 받기'	e1s.js line#415
'Get Outside Your Orb'	'Geh zu deinem Orb'	'Allez à l\'extérieur de votre orbe'	'ピュアレイを外へ誘導'	'球外站位'	'본인 레이저 바깥으로 유도'	e1s.js line#456
'Bait Orb Lasers Outside'	'Laser nach drausen ködern'	'Placez les lasers à l\'extérieur'		'外侧吃激光'	'원/힐 레이저 바깥으로 유도'	e1s.js line#473
﻿'Get Puddles'	'Flächen nehmen'	'Prenez les rayons'		'踩圈'	'장판 밟기'	e2n.js line#15
'tank busters'	'tank buster'	'Tank busters'		'死刑'	'탱버'	e2n.js line#50
'Delayed Fire'	'Verzögertes Feuer'	'Feu retardé'		'延迟火'	'지연술 파이가'	e2n.js line#136
'Delayed Stack'	'Verzögertes sammeln'	'Package retardé'		'延迟集合'	'지연술 쉐어징'	e2n.js line#183
'Delayed Shadoweye'	'Verzögertes Schattenauge'	'Œil de l\'ombre retardé'		'延迟石化眼'	'지연술 그림자시선'	e2n.js line#217
﻿'Protean'	'Himmelsrichtungen'	'Position'	'散開'	'分散站位'	'정해진 위치로 산개'	e2s.js line#134
'Away From Hand'	'Weg von der Hand'	'Eloignez-vous de la main'	'手から離れて'	'远离手'	'팔에서 멀어지기'	e2s.js line#181
'Eye on YOU'	'Auge auf DIR'	'Œil sur VOUS'	'自分に目'	'石化眼点名'	'나에게 눈징'	e2s.js line#335
'Flare'	'Flare'	'Brasier'	'フレア捨てて'	'核爆'	'플레어'	e2s.js line#362
'Delayed Flare'	'Verzögerte Flare'	'Brasier retardé'	'フレア(ディレイ)'	'延迟核爆'	'지연술 플레어'	e2s.js line#388
'Flare'	'Flare'	'Brasier'	'フレア捨てて'	'核爆'	'플레어'	e2s.js line#403
'Flare aoes'	'Flare aoes'	'Dégâts de zone des Brasiers'	'フレア AoE'	'核爆AOE'	'플레어 터짐'	e2s.js line#421
'Hell Wind: Get Out'	'Höllenwind: Raus gehen'	'Vent infernal : Sortez'	'ヘルウィンド: HP1になるよ'	'地狱之风：远离'	'홍옥징 대상자'	e2s.js line#437
'Delayed Hell Wind'	'Verzögerte Höllenwind'	'Vent infernal retardé'	'ヘルウィンド(ディレイ)'	'延迟地狱之风'	'지연술 홍옥징'	e2s.js line#477
'Hell Wind: wait for heals'	'Höllenwind: Warte auf Heilung'	'Vent infernal : attendez les soins'	'ヘルウィンド: HP戻ってから'	'地狱之风：等奶'	'힐 받고 들어가기'	e2s.js line#494
'Heal Hell Wind Targets'	'Heile Höllenwind Ziele'	'Soignez les cibles de Vent infernal'	'HP戻して'	'奶地狱之风目标'	'홍옥징 대상자 힐'	e2s.js line#512
'In, Protean, Sides'	'Rein, Himmelsrichtungen, Seiten'	'Sous le boss, Position, Côtés'	'中 => 散開 => 横'	'脚下 => 站位 => 两侧'	'중앙 => 산개 => 측면'	e2s.js line#538
'Sides, In, Protean'	'Seiten, Rein, Himmelsrichtungen'	'Côtés, Sous le boss, Position'	'横 => 中 => 散開'	'两侧 => 脚下 => 站位'	'측면 => 중앙 => 산개'	e2s.js line#555
